@timestamp,regra,acao,ip_origem,pais,metodo,uri
2026-03-30 02:53:06.312,Default_Action,ALLOW,18.116.205.62,US,HEAD,/
2026-03-30 02:52:50.816,Default_Action,ALLOW,3.212.128.62,US,HEAD,/
2026-03-30 02:52:50.799,Default_Action,ALLOW,3.212.128.62,US,HEAD,/
2026-03-30 02:52:37.901,Default_Action,ALLOW,178.156.184.20,US,HEAD,/
2026-03-30 02:52:37.892,Default_Action,ALLOW,178.156.184.20,US,HEAD,/
2026-03-30 02:52:37.764,Default_Action,ALLOW,178.156.185.231,US,HEAD,/
2026-03-30 02:52:32.006,Default_Action,ALLOW,5.161.177.47,US,HEAD,/
2026-03-30 02:52:31.989,Default_Action,ALLOW,5.161.177.47,US,HEAD,/
2026-03-30 02:52:31.493,Default_Action,ALLOW,52.22.236.30,US,HEAD,/
2026-03-30 02:52:25.674,Default_Action,ALLOW,114.119.155.180,SG,GET,/manole%2B/manole-aulas.php
2026-03-30 02:52:16.736,Default_Action,ALLOW,178.156.184.20,US,HEAD,/
2026-03-30 02:52:16.693,Default_Action,ALLOW,178.156.184.20,US,HEAD,/
2026-03-30 02:52:04.601,Default_Action,ALLOW,173.252.79.115,US,GET,/meta.json
2026-03-30 02:52:03.608,Default_Action,ALLOW,3.212.128.62,US,HEAD,/
2026-03-30 02:52:03.594,Default_Action,ALLOW,3.212.128.62,US,HEAD,/
2026-03-30 02:52:03.226,Default_Action,ALLOW,5.161.73.160,US,HEAD,/
2026-03-30 02:52:02.699,Default_Action,ALLOW,201.71.134.208,BR,GET,/
2026-03-30 02:52:02.367,Default_Action,ALLOW,201.71.134.208,BR,GET,/.well-known/assetlinks.json
2026-03-30 02:51:58.297,Default_Action,ALLOW,52.22.236.30,US,HEAD,/
2026-03-30 02:51:58.293,Default_Action,ALLOW,52.22.236.30,US,HEAD,/
2026-03-30 02:51:57.631,Default_Action,ALLOW,5.161.73.160,US,HEAD,/
2026-03-30 02:51:42.670,Default_Action,ALLOW,52.87.72.16,US,HEAD,/
2026-03-30 02:51:42.654,Default_Action,ALLOW,52.87.72.16,US,HEAD,/
2026-03-30 02:51:41.733,Default_Action,ALLOW,52.167.144.171,US,GET,/livros/index.php
2026-03-30 02:51:40.887,Default_Action,ALLOW,52.167.144.171,US,GET,/colecaosucesso
2026-03-30 02:51:28.605,Default_Action,ALLOW,178.156.187.238,US,HEAD,/
2026-03-30 02:51:28.449,Default_Action,ALLOW,34.198.201.66,US,HEAD,/
2026-03-30 02:51:28.438,Default_Action,ALLOW,34.198.201.66,US,HEAD,/
2026-03-30 02:51:24.631,Default_Action,ALLOW,5.161.117.52,US,HEAD,/
2026-03-30 02:51:24.614,Default_Action,ALLOW,5.161.117.52,US,HEAD,/
2026-03-30 02:51:23.807,Default_Action,ALLOW,5.161.215.244,US,HEAD,/
2026-03-30 02:51:10.062,Default_Action,ALLOW,114.119.144.143,SG,GET,/metodologiaats/sobre-o-curso
2026-03-30 02:51:07.229,Default_Action,ALLOW,52.87.72.16,US,HEAD,/
2026-03-30 02:51:07.215,Default_Action,ALLOW,52.87.72.16,US,HEAD,/
2026-03-30 02:51:02.403,Default_Action,ALLOW,69.63.189.33,US,GET,/meta.json
2026-03-30 02:50:53.104,Default_Action,ALLOW,3.149.57.90,US,HEAD,/
2026-03-30 02:50:53.066,Default_Action,ALLOW,3.149.57.90,US,HEAD,/
2026-03-30 02:50:52.939,Default_Action,ALLOW,5.161.73.160,US,HEAD,/
2026-03-30 02:50:50.687,Default_Action,ALLOW,3.133.226.214,US,HEAD,/
2026-03-30 02:50:50.644,Default_Action,ALLOW,3.133.226.214,US,HEAD,/
2026-03-30 02:50:50.612,Default_Action,ALLOW,69.171.231.20,US,GET,/meta.json
2026-03-30 02:50:49.367,Default_Action,ALLOW,178.156.189.113,US,HEAD,/
2026-03-30 02:50:32.416,Default_Action,ALLOW,54.87.112.51,US,HEAD,/
2026-03-30 02:50:32.407,Default_Action,ALLOW,54.87.112.51,US,HEAD,/
2026-03-30 02:50:32.183,Default_Action,ALLOW,159.69.158.189,DE,HEAD,/
2026-03-30 02:50:31.762,Default_Action,ALLOW,159.69.158.189,DE,HEAD,/
2026-03-30 02:50:31.234,Default_Action,ALLOW,159.69.158.189,DE,HEAD,/
2026-03-30 02:50:19.664,Default_Action,ALLOW,178.156.185.127,US,HEAD,/
2026-03-30 02:50:19.092,Default_Action,ALLOW,52.87.72.16,US,HEAD,/
2026-03-30 02:50:19.083,Default_Action,ALLOW,52.87.72.16,US,HEAD,/
2026-03-30 02:50:17.580,Default_Action,ALLOW,31.13.115.8,SE,GET,/meta.json
